                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79876,                 3.3664,                 1.2758,                0.00504,                      1,                0.53289,                0.10877,                  1.799,                 3.7906,                 1.7403,                      0,                      0,                      0
                      2,                0.78885,                 3.1318,                 1.3088,                0.00503,                      1,                 0.8107,                0.17284,                 1.7195,                 3.6861,                 1.6793,             1.1169e-05,             1.1169e-05,             1.1169e-05
                      3,                0.75698,                 3.0913,                 1.3135,                0.00504,                      1,                0.88012,                0.22244,                 1.6235,                 3.6515,                 1.6265,             1.1336e-05,             1.1336e-05,             1.1336e-05
